nube1,tamaño_nube1,nube2,tamaño_nube2,matcheos,rmse,radio,giros
0.0,34.0,0.0,31.0,0.0,inf,0.1,4.0
0.0,34.0,1.0,13.0,0.0,inf,0.1,4.0
0.0,34.0,2.0,16.0,3.0,0.002042393579968045,0.1,4.0
0.0,34.0,3.0,13.0,0.0,inf,0.1,4.0
0.0,34.0,4.0,18.0,0.0,inf,0.1,4.0
0.0,34.0,5.0,30.0,0.0,inf,0.1,4.0
0.0,34.0,6.0,31.0,0.0,inf,0.1,4.0
0.0,34.0,7.0,23.0,0.0,inf,0.1,4.0
0.0,34.0,8.0,24.0,0.0,inf,0.1,4.0
0.0,34.0,9.0,16.0,0.0,inf,0.1,4.0
0.0,34.0,10.0,14.0,0.0,inf,0.1,4.0
0.0,34.0,11.0,13.0,0.0,inf,0.1,4.0
0.0,34.0,12.0,18.0,0.0,inf,0.1,4.0
0.0,34.0,13.0,16.0,0.0,inf,0.1,4.0
0.0,34.0,14.0,25.0,0.0,inf,0.1,4.0
0.0,34.0,15.0,12.0,0.0,inf,0.1,4.0
0.0,34.0,16.0,16.0,0.0,inf,0.1,4.0
0.0,34.0,17.0,12.0,0.0,inf,0.1,4.0
0.0,34.0,18.0,23.0,0.0,inf,0.1,4.0
0.0,34.0,19.0,17.0,0.0,inf,0.1,4.0
0.0,34.0,20.0,25.0,0.0,inf,0.1,4.0
0.0,34.0,21.0,27.0,0.0,inf,0.1,4.0
0.0,34.0,22.0,21.0,0.0,inf,0.1,4.0
0.0,34.0,23.0,12.0,0.0,inf,0.1,4.0
0.0,34.0,24.0,11.0,0.0,inf,0.1,4.0
0.0,34.0,25.0,16.0,0.0,inf,0.1,4.0
0.0,34.0,26.0,14.0,0.0,inf,0.1,4.0
0.0,34.0,27.0,13.0,0.0,inf,0.1,4.0
0.0,34.0,28.0,22.0,0.0,inf,0.1,4.0
0.0,34.0,29.0,26.0,0.0,inf,0.1,4.0
0.0,34.0,30.0,17.0,0.0,inf,0.1,4.0
0.0,34.0,31.0,23.0,0.0,inf,0.1,4.0
0.0,34.0,32.0,14.0,0.0,inf,0.1,4.0
0.0,34.0,33.0,28.0,0.0,inf,0.1,4.0
0.0,34.0,34.0,26.0,0.0,inf,0.1,4.0
0.0,34.0,35.0,19.0,0.0,inf,0.1,4.0
0.0,34.0,36.0,24.0,0.0,inf,0.1,4.0
0.0,34.0,37.0,29.0,0.0,inf,0.1,4.0
0.0,34.0,38.0,25.0,0.0,inf,0.1,4.0
0.0,34.0,39.0,36.0,0.0,inf,0.1,4.0
0.0,34.0,40.0,17.0,0.0,inf,0.1,4.0
0.0,34.0,41.0,14.0,0.0,inf,0.1,4.0
0.0,34.0,42.0,14.0,0.0,inf,0.1,4.0
0.0,34.0,43.0,30.0,0.0,inf,0.1,4.0
0.0,34.0,44.0,18.0,0.0,inf,0.1,4.0
0.0,34.0,45.0,12.0,0.0,inf,0.1,4.0
0.0,34.0,46.0,15.0,0.0,inf,0.1,4.0
0.0,34.0,47.0,10.0,2.0,0.0023831492484352457,0.1,4.0
0.0,34.0,48.0,11.0,0.0,inf,0.1,4.0
0.0,34.0,49.0,16.0,0.0,inf,0.1,4.0
0.0,34.0,50.0,28.0,0.0,inf,0.1,4.0
0.0,34.0,51.0,12.0,0.0,inf,0.1,4.0
0.0,34.0,52.0,5.0,0.0,inf,0.1,4.0
0.0,34.0,53.0,18.0,0.0,inf,0.1,4.0
0.0,34.0,54.0,8.0,0.0,inf,0.1,4.0
0.0,34.0,55.0,23.0,0.0,inf,0.1,4.0
0.0,34.0,56.0,17.0,0.0,inf,0.1,4.0
0.0,34.0,57.0,12.0,0.0,inf,0.1,4.0
0.0,34.0,58.0,20.0,0.0,inf,0.1,4.0
0.0,34.0,59.0,24.0,0.0,inf,0.1,4.0
0.0,34.0,60.0,11.0,3.0,0.002488842370406653,0.1,4.0
0.0,34.0,61.0,26.0,0.0,inf,0.1,4.0
0.0,34.0,62.0,15.0,0.0,inf,0.1,4.0
0.0,34.0,63.0,19.0,0.0,inf,0.1,4.0
0.0,34.0,64.0,17.0,0.0,inf,0.1,4.0
0.0,34.0,65.0,27.0,0.0,inf,0.1,4.0
0.0,34.0,66.0,18.0,0.0,inf,0.1,4.0
0.0,34.0,67.0,24.0,0.0,inf,0.1,4.0
